distancia_km,tipo_envio,ventana_horas,volumen,fragil,frio,saturacion,prioridad
23,normal,4,14,0,0,alta,media
1258,express,24,15,0,0,baja,media
1004,normal,24,21,1,0,baja,baja
1457,normal,48,26,0,1,media,media
185,normal,4,25,0,0,media,media
306,normal,4,19,0,0,media,baja
227,express,4,27,0,0,baja,media
1158,normal,24,4,0,0,media,baja
1819,normal,48,19,0,0,media,baja
3200,express,72,27,0,0,media,alta
75,express,4,10,0,0,media,media
305,normal,4,30,1,0,media,media
107,normal,4,5,0,0,baja,baja
374,express,4,32,0,0,alta,alta
64,normal,4,6,0,0,baja,baja
1403,normal,48,37,1,0,baja,baja
261,express,4,8,0,0,media,media
1103,normal,24,11,0,0,baja,baja
3828,normal,72,21,0,0,baja,media
26,express,4,11,1,1,baja,alta
482,normal,8,4,0,0,baja,baja
1746,normal,48,24,0,0,baja,baja
330,normal,8,17,0,1,alta,media
470,normal,8,31,0,0,media,baja
205,normal,4,26,0,0,baja,baja
656,normal,8,37,0,0,alta,media
63,normal,4,18,1,0,media,media
405,normal,8,35,0,0,media,baja
228,express,4,5,0,0,media,media
659,normal,8,36,0,0,baja,baja
305,normal,4,10,0,0,alta,media
245,normal,4,19,1,0,baja,baja
1264,normal,24,16,0,0,baja,baja
201,normal,4,16,0,0,media,baja
116,normal,4,12,0,0,media,baja
356,normal,8,3,1,0,baja,baja
1392,normal,48,16,0,0,baja,baja
169,normal,4,31,1,1,baja,media
1469,normal,48,10,1,0,baja,baja
647,normal,24,33,0,0,alta,media
232,normal,4,9,0,0,alta,media
178,normal,4,35,0,0,baja,baja
140,express,4,14,0,0,baja,media
2518,normal,72,20,0,0,media,media
226,normal,4,42,0,0,baja,baja
392,normal,8,17,0,0,alta,baja
2450,normal,48,22,1,1,alta,alta
381,normal,8,1,0,0,baja,baja
1264,normal,48,24,1,0,baja,baja
359,normal,8,15,0,0,baja,baja
290,express,4,13,0,0,alta,alta
343,normal,8,30,0,0,media,baja
482,express,4,11,0,0,media,media
1463,normal,48,15,0,0,baja,baja
150,normal,4,10,0,0,baja,baja
337,express,4,26,0,0,baja,media
209,express,4,4,1,1,media,alta
74,normal,4,7,1,0,baja,baja
108,express,4,28,0,1,baja,alta
352,express,4,10,0,0,baja,media
975,express,24,37,0,0,alta,alta
130,normal,4,37,0,0,alta,media
1840,express,48,18,1,0,alta,alta
323,express,4,13,1,0,media,alta
623,express,8,26,1,0,baja,media
1519,normal,48,28,1,0,baja,baja
307,normal,4,25,0,0,media,media
560,normal,8,27,0,0,baja,baja
356,express,4,8,0,0,baja,media
233,normal,4,15,0,1,baja,baja
77,normal,4,35,0,0,media,media
475,normal,8,35,0,0,media,baja
56,express,4,21,0,0,baja,media
211,normal,4,23,1,0,media,media
384,express,4,5,0,0,baja,media
1484,normal,48,21,0,0,alta,media
396,normal,8,16,0,0,baja,baja
365,express,4,9,0,0,baja,media
41,normal,4,21,0,0,media,media
1368,normal,24,10,0,0,media,baja
418,express,4,15,0,0,media,media
229,normal,4,18,0,0,alta,media
293,normal,4,32,1,1,baja,media
1258,normal,48,28,0,0,baja,baja
488,normal,8,40,0,0,baja,baja
1863,normal,48,2,1,1,alta,media
308,normal,4,5,0,0,baja,baja
291,normal,4,7,1,1,alta,alta
676,normal,8,24,0,0,baja,baja
145,express,4,19,0,1,media,alta
347,normal,8,28,0,0,media,baja
561,normal,8,24,0,0,baja,baja
3628,normal,72,19,0,0,media,media
415,normal,8,27,0,0,baja,baja
1398,express,24,26,0,1,media,alta
383,express,8,10,0,0,alta,media
274,express,4,27,0,1,baja,alta
233,normal,4,12,1,0,baja,baja
52,normal,4,16,1,0,media,media
101,normal,4,35,1,1,baja,media
308,express,4,10,0,0,media,media
204,normal,4,18,0,1,media,media
2038,normal,48,16,0,0,baja,baja
60,normal,4,26,1,1,baja,media
370,express,4,16,1,0,media,alta
467,normal,8,15,0,0,baja,baja
1211,normal,24,12,0,1,baja,baja
521,normal,8,20,0,0,baja,baja
220,normal,4,12,0,0,baja,baja
1260,normal,48,18,1,1,baja,baja
93,normal,4,27,1,0,baja,media
329,normal,4,9,1,0,baja,baja
518,normal,8,6,0,1,media,baja
1142,normal,24,24,0,1,media,media
1248,normal,24,14,0,0,alta,media
126,normal,4,9,0,0,media,baja
135,normal,4,2,0,0,baja,baja
136,normal,4,20,0,0,alta,media
220,normal,4,25,0,0,media,media
429,normal,8,40,0,0,baja,baja
436,normal,8,20,1,1,alta,media
3758,normal,72,26,0,0,media,media
148,normal,4,10,0,0,baja,baja
266,normal,4,43,0,0,baja,baja
546,normal,8,26,1,0,media,baja
658,normal,24,25,0,0,baja,baja
522,normal,8,23,0,0,media,baja
3598,normal,72,37,0,0,alta,alta
404,express,4,2,1,0,alta,alta
3052,normal,72,6,1,0,alta,alta
461,normal,8,18,0,0,baja,baja
247,express,4,11,0,0,baja,media
592,normal,8,26,0,0,baja,baja
1481,normal,48,20,0,0,baja,baja
263,express,4,20,0,0,media,media
175,normal,4,6,0,0,baja,baja
1791,normal,48,34,0,0,baja,baja
1648,normal,48,29,0,0,media,baja
120,express,4,41,0,0,baja,media
97,express,4,12,0,1,baja,media
217,express,4,21,0,1,baja,alta
359,normal,8,14,0,0,alta,baja
134,normal,4,9,0,1,media,media
1046,normal,24,2,1,0,baja,baja
1281,normal,24,45,1,0,baja,baja
411,express,4,19,0,0,alta,alta
292,normal,4,35,0,0,alta,media
169,express,4,11,0,0,baja,media
1341,normal,48,16,0,0,media,baja
463,express,8,3,1,1,baja,media
479,express,4,12,0,0,baja,media
72,normal,4,24,0,0,alta,media
492,normal,8,44,1,0,baja,baja
154,normal,4,26,0,0,alta,media
734,express,8,31,0,0,media,media
481,normal,8,22,0,1,media,baja
382,express,4,15,0,0,alta,alta
324,normal,8,14,0,0,baja,baja
215,express,4,19,0,0,alta,alta
2783,express,48,14,0,1,alta,alta
1126,normal,24,1,0,1,baja,baja
1684,express,48,25,1,0,baja,media
171,express,4,21,1,0,media,alta
529,normal,8,22,0,0,baja,baja
104,express,4,12,0,0,baja,media
305,express,4,21,1,1,baja,alta
1167,normal,24,23,1,1,baja,media
627,express,8,31,0,0,baja,media
385,normal,8,30,0,0,baja,baja
200,normal,4,31,0,0,baja,baja
3608,normal,72,9,1,0,alta,alta
3897,express,72,19,0,1,baja,alta
275,normal,4,38,1,0,alta,alta
547,normal,8,11,1,0,baja,baja
136,express,4,17,0,0,baja,media
618,express,8,30,0,0,baja,media
3055,normal,72,24,0,0,baja,media
33,normal,4,10,0,0,baja,baja
380,normal,8,18,0,0,media,baja
126,normal,4,29,0,0,baja,baja
588,normal,8,29,0,0,baja,baja
1290,normal,48,37,0,0,media,baja
439,normal,8,2,1,1,baja,baja
1446,normal,48,27,0,0,baja,baja
148,normal,4,28,0,0,baja,baja
585,normal,8,39,0,1,baja,baja
242,normal,4,7,0,0,alta,media
1012,express,24,36,1,0,baja,media
3478,normal,72,16,1,0,baja,media
137,normal,4,12,1,0,media,media
296,normal,4,45,0,0,media,media
3613,express,48,4,1,0,baja,alta
3608,express,72,42,0,0,media,alta
224,normal,4,17,0,0,baja,baja
667,normal,8,10,1,0,baja,baja
3664,normal,72,33,0,0,baja,media
311,normal,4,19,1,0,baja,baja
1519,normal,48,12,0,0,media,baja
284,normal,4,11,1,0,baja,baja
3003,normal,72,10,0,0,media,media
2808,normal,72,29,1,0,baja,media
412,express,8,28,0,1,baja,media
1438,express,24,26,0,0,baja,media
116,express,4,11,0,0,baja,media
676,express,8,16,1,1,media,media
1161,express,24,25,0,0,baja,media
2298,normal,48,35,0,0,alta,alta
217,express,4,15,0,0,media,media
288,normal,4,15,1,1,alta,alta
1554,normal,48,38,0,0,alta,media
43,normal,4,1,0,1,baja,baja
195,normal,4,22,1,0,baja,media
270,normal,4,14,0,0,alta,media
399,normal,8,15,1,0,alta,media
384,express,4,19,0,0,alta,alta
134,normal,4,44,0,0,media,media
534,express,8,30,0,0,baja,media
189,normal,4,18,0,0,media,baja
198,normal,4,43,0,0,alta,media
124,normal,4,11,0,0,baja,baja
324,normal,4,10,0,1,media,media
61,normal,4,5,0,0,alta,media
119,normal,4,13,0,0,media,baja
284,express,4,8,0,0,baja,media
176,normal,4,30,0,0,alta,media
593,normal,8,22,0,0,baja,baja
649,normal,8,21,1,0,baja,baja
1582,express,24,29,0,0,media,media
650,express,8,14,1,0,alta,alta
193,normal,4,26,1,0,baja,media
353,normal,8,32,1,0,baja,baja
3143,normal,72,42,0,0,baja,media
451,normal,8,5,1,1,baja,baja
328,normal,8,5,1,0,media,baja
232,express,4,14,0,0,alta,alta
1368,normal,48,43,0,0,baja,baja
1797,normal,48,8,0,0,baja,baja
251,express,4,5,0,0,baja,media
112,normal,4,40,0,0,alta,media
1262,express,24,15,1,0,media,media
607,express,8,3,0,0,media,media
191,express,4,21,1,0,media,alta
1321,normal,48,36,0,0,baja,baja
320,express,4,27,0,1,baja,alta
97,normal,4,15,1,0,baja,baja
1416,normal,48,3,0,0,media,baja
2416,normal,48,9,0,0,media,media
1172,normal,24,23,0,0,alta,media
491,normal,8,27,1,0,alta,media
119,express,4,16,0,0,baja,media
157,normal,4,23,1,0,baja,media
164,normal,4,34,0,0,baja,baja
364,normal,8,7,1,0,media,baja
1270,normal,24,24,1,0,baja,baja
5,express,4,14,0,0,alta,alta
269,normal,4,6,0,0,media,baja
243,normal,4,26,0,0,alta,media
492,normal,8,30,1,0,media,baja
439,normal,8,5,0,0,baja,baja
416,express,8,30,0,0,media,media
343,normal,8,11,0,0,baja,baja
979,express,24,25,0,0,baja,media
1686,normal,48,12,1,1,baja,baja
3208,normal,72,19,0,0,baja,baja
108,normal,4,15,0,0,baja,baja
388,normal,8,9,1,1,alta,media
609,normal,8,29,1,0,alta,media
194,normal,4,10,0,0,media,baja
55,normal,4,9,1,0,baja,baja
252,normal,4,7,0,0,media,baja
51,normal,4,21,1,0,baja,media
224,normal,4,12,0,0,media,baja
572,normal,8,14,0,0,baja,baja
269,normal,4,40,0,0,baja,baja
585,normal,8,22,0,0,baja,baja
2570,express,48,10,0,0,media,alta
491,normal,8,19,1,0,baja,baja
323,normal,4,22,0,0,media,media
443,express,4,25,0,0,baja,media
59,normal,4,35,1,0,baja,media
288,normal,4,14,0,1,baja,baja
166,normal,4,18,0,0,media,baja
3170,express,48,38,0,0,media,alta
193,normal,4,26,0,0,media,media
356,normal,8,23,1,1,baja,baja
437,normal,8,8,0,0,baja,baja
3038,normal,72,28,0,0,media,media
1834,normal,48,6,0,0,alta,media
196,normal,4,25,0,0,baja,baja
3051,normal,72,10,0,0,media,media
645,express,8,15,1,1,baja,media
324,express,4,8,0,0,alta,alta
342,normal,8,23,1,0,media,baja
1867,express,24,23,0,1,alta,alta
956,normal,24,29,1,0,baja,baja
565,normal,8,21,1,0,baja,baja
174,normal,4,31,0,0,media,media
551,normal,8,23,0,0,alta,media
497,normal,8,13,1,0,baja,baja
241,normal,4,34,0,0,media,media
160,normal,4,8,1,1,baja,media
216,normal,4,19,0,0,media,baja
170,normal,4,19,0,1,media,media
1364,normal,24,13,0,0,baja,baja
241,express,4,23,1,0,media,alta
391,normal,8,35,0,0,baja,baja
1627,normal,48,31,1,0,alta,media
1467,normal,48,18,0,0,baja,baja
3329,express,72,28,0,0,media,alta
1307,normal,48,19,0,0,baja,baja
311,normal,4,27,0,0,baja,baja
257,express,4,23,0,0,baja,media
500,normal,8,20,1,0,baja,baja
93,normal,4,15,0,0,baja,baja
1721,express,48,22,1,0,baja,media
329,normal,4,10,1,0,alta,media
2655,normal,48,24,0,0,alta,alta
554,normal,8,10,0,0,media,baja
1247,normal,24,6,0,1,baja,baja
316,express,4,8,0,0,alta,alta
94,normal,4,10,0,1,media,media
386,normal,8,34,0,0,media,baja
1117,normal,24,16,0,0,media,baja
3433,normal,72,13,0,0,baja,baja
619,normal,24,34,0,0,alta,media
245,normal,4,31,0,0,media,media
3311,express,72,12,0,0,baja,media
558,normal,8,15,1,0,baja,baja
55,express,4,25,1,1,baja,alta
91,express,4,4,1,0,baja,media
276,normal,4,24,1,1,baja,media
403,express,4,3,1,0,media,alta
305,normal,4,36,0,0,baja,baja
276,normal,4,9,0,0,media,baja
1338,normal,48,5,1,0,media,baja
331,normal,8,22,0,0,media,baja
320,express,4,19,0,0,alta,alta
244,normal,4,13,0,1,baja,baja
73,normal,4,9,0,0,baja,baja
3536,normal,72,8,0,0,baja,baja
521,express,8,11,0,0,media,media
399,normal,8,3,0,0,alta,baja
3093,normal,72,8,1,0,baja,media
524,normal,8,17,1,0,baja,baja
258,normal,4,9,0,1,baja,baja
519,normal,8,22,0,0,baja,baja
79,express,4,9,0,1,media,alta
3092,normal,72,19,0,0,media,media
132,express,4,23,0,0,baja,media
526,express,8,13,0,0,alta,media
1008,normal,24,24,0,0,baja,baja
252,normal,4,3,0,0,baja,baja
876,normal,24,7,0,0,baja,baja
315,normal,4,11,0,0,media,baja
170,normal,4,11,0,1,baja,baja
1491,normal,48,10,0,1,baja,baja
3135,normal,72,25,1,1,alta,alta
1218,express,24,10,1,0,media,media
367,normal,8,7,0,1,media,baja
508,normal,8,15,0,1,baja,baja
324,normal,8,23,1,0,alta,media
288,normal,4,30,0,0,baja,baja
160,normal,4,24,0,1,baja,media
104,normal,4,9,0,0,alta,media
1358,normal,48,29,0,0,alta,media
239,express,4,8,1,0,media,alta
3190,normal,72,37,0,0,media,media
649,normal,24,12,0,0,baja,baja
408,normal,8,16,1,0,baja,baja
439,normal,8,7,0,0,alta,baja
255,normal,4,15,1,1,baja,media
408,normal,8,15,0,0,alta,baja
98,normal,4,39,0,0,alta,media
466,normal,8,21,1,1,baja,baja
410,normal,8,15,1,0,media,baja
114,normal,4,44,0,1,media,media
3017,normal,72,29,0,0,baja,media
209,express,4,25,0,0,baja,media
389,normal,8,14,0,0,baja,baja
405,normal,8,12,0,1,baja,baja
249,express,4,14,0,1,alta,alta
3262,normal,72,24,0,0,baja,media
1542,normal,48,31,1,1,alta,alta
187,normal,4,23,0,1,media,media
106,express,4,38,0,0,baja,media
279,normal,4,4,0,0,baja,baja
236,normal,4,9,1,0,media,media
448,express,4,15,0,0,media,media
3912,express,72,17,1,0,baja,alta
1193,express,24,16,0,0,media,media
695,normal,8,9,0,1,baja,baja
342,normal,4,24,1,0,alta,alta
654,normal,24,10,0,0,alta,baja
218,normal,4,5,0,0,baja,baja
1898,express,48,26,0,0,alta,alta
168,express,4,2,0,0,baja,media
770,normal,24,23,0,1,baja,baja
136,express,4,27,0,1,baja,alta
320,express,4,36,0,0,baja,media
189,normal,4,13,0,0,media,baja
477,normal,8,29,0,1,media,baja
285,normal,4,30,0,0,media,media
505,normal,8,32,0,0,alta,media
558,normal,8,25,0,0,baja,baja
560,express,8,28,0,0,baja,media
3023,normal,72,23,0,0,media,media
275,normal,4,15,1,0,baja,baja
351,normal,8,11,1,0,baja,baja
452,normal,8,37,0,0,baja,baja
3618,express,72,32,1,0,alta,alta
3428,express,72,8,1,0,baja,alta
238,normal,4,6,0,0,alta,media
289,express,4,9,1,1,alta,alta
285,normal,4,35,0,0,baja,baja
163,normal,4,44,1,1,media,media
416,express,4,19,1,0,baja,media
162,normal,4,17,0,0,baja,baja
164,normal,4,8,1,0,baja,baja
1971,normal,48,6,1,0,alta,media
26,normal,4,30,0,1,baja,media
284,normal,4,31,0,0,alta,media
3430,normal,72,43,0,0,alta,alta
39,express,4,8,0,1,baja,media
3999,normal,72,11,0,0,baja,baja
625,normal,24,6,0,0,baja,baja
113,express,4,24,1,0,media,alta
488,express,8,13,0,0,media,media
1703,normal,48,17,0,0,alta,media
1499,normal,48,37,0,0,baja,baja
1174,normal,48,24,0,0,baja,baja
250,normal,4,10,0,0,alta,media
3148,normal,72,15,0,0,baja,baja
394,normal,8,10,0,1,media,baja
496,normal,8,32,0,0,media,baja
199,express,4,12,1,0,baja,media
468,normal,8,6,0,0,media,baja
1444,express,24,22,0,0,alta,alta
63,normal,4,29,0,1,baja,media
37,normal,4,25,1,0,baja,media
146,normal,4,25,0,0,alta,media
168,express,4,6,0,0,baja,media
1603,express,24,42,0,1,baja,media
226,normal,4,28,1,0,baja,media
401,normal,8,15,0,0,baja,baja
3486,express,48,33,0,0,media,alta
398,express,4,17,1,0,media,alta
2960,express,48,29,0,1,baja,alta
92,normal,4,39,0,1,media,media
306,normal,8,11,0,0,baja,baja
471,normal,8,26,0,0,media,baja
135,normal,4,9,1,0,baja,baja
420,normal,8,10,0,0,baja,baja
402,normal,8,19,0,0,alta,baja
51,normal,4,21,0,0,alta,media
222,express,4,12,1,1,baja,alta
48,normal,4,11,0,0,alta,media
107,normal,4,12,0,0,media,baja
223,normal,4,20,0,0,media,baja
138,normal,4,27,0,0,media,media
1148,normal,24,30,1,0,media,media
1096,normal,24,12,1,0,media,baja
538,express,8,21,1,1,baja,media
648,express,8,13,0,1,media,media
833,normal,24,43,0,0,alta,media
480,normal,8,29,0,0,baja,baja
99,normal,4,25,0,0,media,media
2605,express,48,25,0,0,baja,alta
990,express,24,34,1,1,alta,alta
637,express,8,34,0,0,alta,alta
2515,express,48,13,0,1,alta,alta
158,normal,4,39,0,0,baja,baja
232,normal,4,30,1,0,baja,media
981,express,24,43,0,0,media,media
493,normal,8,8,1,0,baja,baja
217,express,4,42,0,0,baja,media
321,normal,4,42,1,0,media,media
44,normal,4,21,0,0,baja,baja
1495,normal,48,7,1,1,baja,baja
215,normal,4,9,0,0,baja,baja
359,normal,8,21,1,0,alta,media
265,normal,4,14,0,0,baja,baja
206,normal,4,27,0,0,alta,media
4005,express,72,5,0,0,media,alta
37,normal,4,13,0,0,baja,baja
70,normal,4,38,0,0,baja,baja
171,express,4,20,1,0,baja,media
1109,express,24,9,0,0,baja,media
87,normal,4,9,0,1,media,media
73,normal,4,13,0,0,alta,media
240,express,4,14,0,0,baja,media
1693,normal,48,23,0,0,media,baja
140,express,4,29,0,0,baja,media
730,express,8,6,0,0,alta,media
575,normal,8,9,0,1,baja,baja
1496,normal,48,16,0,1,baja,baja
47,normal,4,9,1,0,alta,media
58,express,4,8,0,0,baja,media
135,express,4,31,1,0,baja,alta
193,normal,4,16,0,0,baja,baja
368,normal,8,18,0,0,media,baja
66,normal,4,35,1,0,media,media
402,normal,8,16,0,0,baja,baja
1447,express,24,10,1,1,baja,media
1535,normal,48,32,0,0,baja,baja
321,normal,4,19,0,1,baja,baja
2606,normal,48,19,0,0,media,media
108,express,4,9,0,0,baja,media
241,normal,4,20,0,0,alta,media
1238,normal,48,19,0,0,baja,baja
618,normal,8,38,0,0,media,baja
90,normal,4,19,0,0,baja,baja
3152,express,48,17,0,0,media,alta
448,express,8,30,0,0,baja,media
167,normal,4,28,1,0,baja,media
382,normal,8,27,1,0,baja,baja
84,express,4,22,1,0,baja,alta
232,express,4,9,0,0,media,media
142,express,4,33,1,0,media,alta
427,normal,8,38,1,0,alta,media
380,normal,8,10,1,0,media,baja
314,express,4,25,1,1,media,alta
196,express,4,15,1,0,baja,media
355,express,4,7,0,0,media,media
239,normal,4,10,0,0,baja,baja
939,express,24,9,0,0,baja,media
342,express,4,39,0,0,media,alta
787,express,8,26,0,0,media,media
335,normal,4,17,0,0,alta,media
298,normal,8,21,0,0,media,baja
185,express,4,29,1,0,baja,alta
304,normal,8,41,0,1,alta,media
82,normal,4,41,0,0,alta,media
686,express,8,10,1,0,baja,media
1574,express,24,16,0,0,baja,media
84,express,4,18,1,0,baja,media
422,normal,8,6,0,0,media,baja
1004,express,24,40,0,0,baja,media
615,normal,24,36,1,0,baja,baja
76,express,4,29,0,1,baja,alta
1568,normal,48,17,1,0,baja,baja
2678,express,48,10,0,0,media,alta
612,normal,8,28,0,0,baja,baja
322,normal,8,34,1,0,media,baja
514,normal,8,17,0,1,alta,media
3621,normal,72,16,0,1,media,media
142,normal,4,30,0,0,media,media
230,normal,4,9,0,0,baja,baja
25,normal,4,18,1,0,alta,media
262,express,4,38,0,0,baja,media
193,normal,4,31,1,0,alta,alta
523,normal,8,18,1,0,baja,baja
3295,normal,72,24,1,0,media,media
522,normal,8,13,1,0,baja,baja
962,normal,24,22,1,0,baja,baja
1692,normal,48,22,0,1,media,media
200,express,4,14,0,0,media,media
196,express,4,9,0,0,baja,media
187,normal,4,14,1,0,media,media
270,express,4,38,0,0,alta,alta
335,normal,4,42,1,1,baja,media
202,normal,4,41,0,0,alta,media
51,normal,4,15,0,0,media,baja
427,normal,8,18,0,0,alta,baja
234,normal,4,25,1,0,baja,media
1159,normal,24,12,0,0,alta,media
172,express,4,25,1,0,baja,alta
363,normal,8,18,1,1,baja,baja
182,normal,4,35,1,0,media,media
216,normal,4,9,0,1,alta,media
239,normal,4,5,0,0,baja,baja
1588,normal,48,33,0,1,baja,baja
543,normal,8,8,0,0,baja,baja
340,normal,8,30,1,0,baja,baja
411,normal,8,24,0,0,alta,media
496,normal,8,5,0,0,baja,baja
420,normal,8,30,0,0,media,baja
376,express,4,35,0,1,media,alta
3624,normal,72,7,0,0,baja,baja
504,normal,8,9,0,0,media,baja
1175,normal,24,22,1,0,baja,baja
323,express,4,34,1,0,media,alta
1607,normal,48,34,1,0,alta,media
296,normal,4,19,0,0,baja,baja
4018,normal,72,30,0,0,baja,media
1542,express,24,15,0,0,baja,media
1268,normal,24,6,0,0,baja,baja
196,express,4,14,0,0,media,media
1347,normal,24,30,0,0,baja,baja
155,express,4,9,0,0,baja,media
185,normal,4,42,0,1,baja,media
107,normal,4,14,0,0,media,baja
965,express,24,13,0,0,alta,alta
212,normal,4,7,0,0,media,baja
165,normal,4,9,0,0,baja,baja
727,normal,24,35,1,0,media,baja
3071,express,48,31,0,0,baja,alta
129,normal,4,45,0,0,baja,baja
142,normal,4,36,0,0,alta,media
358,normal,8,29,0,0,baja,baja
406,normal,8,22,0,0,media,baja
3538,normal,72,5,1,0,baja,media
276,express,4,19,0,0,baja,media
191,express,4,11,1,0,media,alta
154,normal,4,9,1,0,baja,baja
478,normal,8,16,0,0,baja,baja
81,normal,4,46,0,0,baja,baja
1251,normal,48,7,0,0,media,baja
223,express,4,23,1,0,baja,alta
1664,normal,48,7,0,0,media,baja
3049,normal,72,16,0,1,baja,media
92,normal,4,8,0,0,media,baja
1167,normal,24,35,0,0,media,baja
507,express,8,27,0,0,media,media
1805,express,24,28,0,0,baja,media
2471,express,48,7,1,0,baja,alta
312,express,4,28,0,0,baja,media
461,normal,8,18,1,0,baja,baja
2855,express,48,4,0,0,baja,media
1018,normal,24,26,1,0,baja,baja
366,express,4,31,0,0,media,alta
301,express,4,27,0,0,baja,media
390,normal,8,19,1,0,baja,baja
387,normal,8,27,1,0,baja,baja
1783,normal,48,4,0,0,media,baja
514,normal,8,25,0,0,media,baja
634,express,8,14,1,0,media,media
17,express,4,13,1,0,baja,media
159,express,4,40,0,0,baja,media
742,normal,24,26,1,0,media,baja
122,normal,4,40,0,0,media,media
15,normal,4,42,0,0,baja,baja
1273,express,24,37,0,1,media,alta
1160,normal,24,30,0,0,baja,baja
230,normal,4,12,1,0,baja,baja
1309,normal,48,12,1,1,baja,baja
218,express,4,38,0,0,alta,alta
548,express,8,10,0,0,baja,baja
287,normal,4,8,0,0,baja,baja
544,express,8,18,0,0,alta,media
627,normal,8,13,0,0,baja,baja
45,normal,4,14,0,0,alta,media
346,normal,8,17,0,0,media,baja
2863,normal,72,21,0,0,media,media
676,normal,24,46,0,0,baja,baja
443,express,8,2,1,0,media,media
343,normal,4,28,0,0,baja,baja
366,normal,8,29,0,1,baja,baja
402,normal,8,34,0,0,alta,media
176,normal,4,6,0,0,alta,media
1003,express,24,33,0,0,alta,alta
1527,normal,48,40,1,0,baja,baja
3032,express,48,15,0,0,baja,media
297,normal,8,2,0,0,media,baja
2915,normal,72,6,0,1,baja,media
79,express,4,43,0,0,baja,media
1513,normal,48,34,0,1,baja,baja
1460,normal,24,21,1,0,alta,media
114,normal,4,36,1,0,alta,alta
2469,express,48,31,0,0,baja,alta
1650,express,24,28,0,0,baja,media
366,express,4,15,0,0,alta,alta
317,normal,8,25,1,0,media,baja
290,normal,4,8,0,0,baja,baja
3071,normal,72,16,1,0,baja,media
314,express,4,7,0,1,baja,media
1606,normal,48,25,0,0,baja,baja
1923,normal,48,20,0,1,baja,baja
21,express,4,8,0,0,baja,media
23,express,4,13,1,0,baja,media
448,express,8,24,0,0,baja,media
141,normal,4,30,0,0,alta,media
78,normal,4,32,0,1,baja,media
216,normal,4,7,0,0,baja,baja
4262,normal,72,11,0,0,media,media
314,normal,4,25,0,0,media,media
632,normal,8,35,1,0,media,baja
132,normal,4,30,0,0,baja,baja
244,normal,4,30,0,0,media,media
2544,normal,48,7,0,0,baja,baja
177,normal,4,9,0,0,baja,baja
1202,express,24,13,0,0,alta,alta
1214,express,24,3,0,0,baja,media
3210,normal,72,20,0,0,baja,baja
1511,normal,48,14,1,0,alta,media
1551,normal,48,24,0,1,baja,baja
110,normal,4,9,1,0,media,media
765,normal,24,8,1,0,baja,baja
229,express,4,20,0,0,baja,media
551,normal,8,24,1,1,media,media
1234,express,24,5,0,1,alta,alta
247,normal,4,27,1,0,baja,media
36,express,4,18,0,0,baja,media
311,normal,8,21,0,0,media,baja
1025,normal,24,31,0,0,alta,media
598,normal,8,6,0,0,media,baja
323,normal,8,26,0,0,media,baja
1005,normal,24,16,0,0,alta,media
262,normal,4,17,0,1,media,media
184,express,4,7,0,0,alta,alta
1510,express,24,44,1,0,media,alta
132,normal,4,28,0,0,media,media
1359,normal,48,29,1,0,alta,media
499,normal,8,37,1,1,media,media
284,normal,4,7,0,0,baja,baja
236,normal,4,22,0,0,alta,media
18,express,4,26,0,0,baja,media
1796,normal,48,18,0,0,media,baja
324,normal,8,11,0,0,media,baja
478,normal,8,9,0,0,media,baja
121,normal,4,25,0,0,media,media
543,normal,8,23,1,0,baja,baja
416,normal,8,18,0,0,media,baja
452,express,8,20,1,0,media,media
1298,normal,48,17,1,0,alta,media
67,express,4,10,0,0,baja,media
696,express,8,20,0,0,media,media
22,normal,4,9,0,0,baja,baja
65,normal,4,30,0,1,baja,media
4022,express,48,18,1,0,media,alta
505,normal,8,16,0,1,media,baja
411,normal,8,6,0,0,baja,baja
1079,normal,24,28,0,0,baja,baja
202,normal,4,41,1,0,media,media
1347,normal,24,9,0,0,media,baja
1204,normal,24,20,0,0,media,baja
1661,normal,48,10,1,0,baja,baja
1540,express,24,22,0,1,baja,media
1050,normal,24,7,0,1,baja,baja
124,normal,4,8,0,1,baja,baja
454,express,8,14,0,0,media,media
67,express,4,14,0,1,baja,media
150,normal,4,38,1,0,media,media
138,normal,4,4,0,0,alta,media
538,normal,8,31,1,1,baja,baja
466,express,8,9,1,0,baja,media
49,normal,4,22,1,1,baja,media
1115,normal,24,22,0,0,media,baja
2349,express,48,20,0,0,baja,media
369,normal,8,30,1,0,baja,baja
594,express,8,11,0,0,media,media
96,normal,4,19,0,0,media,baja
372,normal,8,14,0,0,baja,baja
405,express,8,16,0,0,alta,media
97,normal,4,48,0,0,baja,baja
234,normal,4,10,0,1,media,media
164,express,4,27,1,1,baja,alta
357,normal,4,23,0,0,media,media
1002,normal,24,43,0,0,alta,media
1155,normal,24,1,1,0,baja,baja
185,express,4,11,0,0,alta,alta
1577,express,24,26,1,0,media,alta
484,normal,8,38,0,0,baja,baja
1417,normal,48,14,0,1,baja,baja
152,express,4,42,0,0,baja,media
467,normal,8,26,0,1,alta,media
156,normal,4,12,0,0,baja,baja
370,normal,4,13,0,0,baja,baja
363,normal,4,18,0,0,baja,baja
2646,normal,48,14,0,0,alta,media
501,normal,8,36,1,0,baja,baja
323,normal,4,16,0,0,media,baja
516,normal,8,7,0,0,alta,baja
130,express,4,17,0,0,baja,media
441,normal,8,24,1,1,baja,baja
